title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,-6,14,50,184,56,3,92,1
Happier,Marshmello,brostep,2019,100,79,69,-3,17,67,214,19,5,90,1
Truth Hurts,Lizzo,escape room,2019,158,62,72,-3,12,41,173,11,11,90,1
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67,-3,74,48,159,30,6,90,1
Higher Love,Kygo,edm,2019,104,68,69,-7,10,40,228,2,3,88,1
Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6,87,183,11,7,87,1
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,64,-8,8,55,198,12,19,86,1
Sucker,Jonas Brothers,boy band,2019,138,73,84,-5,11,95,181,4,6,86,1
Don't Call Me Up,Mabel,dance pop,2019,99,88,67,-3,8,23,178,30,15,86,1
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,80,-5,9,84,220,9,4,85,1
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,90,-9,6,35,198,5,13,84,1
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,89,81,-4,8,61,229,2,4,84,1
Takeaway,The Chainsmokers,electropop,2019,100,51,53,-8,10,35,210,13,3,83,1
All Around The World (La La La),R3HAB,big room,2019,125,86,73,-5,11,52,148,48,3,82,1
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,54,85,-7,13,45,236,57,5,81,1
Call You Mine,The Chainsmokers,electropop,2019,104,70,59,-6,34,52,218,20,3,81,1
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,45,70,-7,16,14,261,12,15,81,0
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,72,-5,36,91,162,13,5,78,0
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,84,-4,6,62,213,16,23,77,0
Con Calma - Remix,Daddy Yankee,latin,2019,94,87,74,-3,4,61,181,17,5,76,0
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,61,-7,20,16,176,1,3,75,0
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,75,-6,7,61,206,21,12,75,0
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,53,-5,9,65,260,7,34,70,0
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,79,60,-6,42,24,217,1,7,69,0
Kills You Slowly,The Chainsmokers,electropop,2019,150,44,70,-9,13,23,213,6,6,67,0
bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,94,0
7 rings,Ariana Grande,dance pop,2019,140,32,78,-11,9,33,179,59,33,90,1
Old Town Road - Remix,Lil Nas X,country rap,2019,136,62,88,-6,11,64,157,5,10,89,1
SeÃ±orita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,88,1
rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,160,52,59,-6,13,13,218,12,7,88,1
SAD!,XXXTENTACION,emo rap,2018,75,61,74,-5,12,47,167,26,14,87,1
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,90,52,76,-4,7,93,158,53,6,86,1
God's Plan,Drake,canadian hip hop,2018,77,45,75,-9,55,36,199,3,11,85,1
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,85,1
Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,85,1
I Fall Apart,Post Malone,dfw rap,2016,144,54,56,-5,20,29,223,7,4,84,1
HUMBLE.,Kendrick Lamar,conscious hip hop,2017,150,62,91,-7,10,42,177,0,10,84,1
Starboy,The Weeknd,canadian contemporary r&b,2016,186,59,68,-7,14,49,230,14,28,84,1
FRIENDS,Marshmello,brostep,2018,95,88,63,-2,13,53,203,21,5,83,0
Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,140,56,75,-8,11,46,221,55,11,83,1
Congratulations,Post Malone,dfw rap,2016,123,80,63,-4,25,49,220,22,4,83,1
In My Feelings,Drake,canadian hip hop,2018,91,63,84,-6,40,35,218,6,13,83,1
The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,83,1
no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,83,1
Dancing On My Own,Calum Scott,pop,2018,113,17,68,-9,10,24,260,84,3,83,1
New Rules,Dua Lipa,dance pop,2017,116,70,76,-6,15,61,209,0,7,83,1
Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11,75,188,11,34,83,1
Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,83,1
Happier,Ed Sheeran,pop,2017,90,39,52,-7,14,24,208,54,3,82,1
Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,82,1
IDGAF,Dua Lipa,dance pop,2017,97,54,84,-6,8,51,218,4,9,82,1
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2017,122,81,87,-4,8,97,199,38,6,82,1
Scared to Be Lonely,Martin Garrix,big room,2017,138,54,58,-8,26,20,221,9,6,81,1
Whatever It Takes,Imagine Dragons,modern rock,2017,135,66,67,-5,12,56,201,4,3,81,1
Let Me Love You,DJ Snake,electronic trap,2016,100,72,65,-5,14,16,206,9,3,81,1
i hate u i love u (feat. olivia o'brien),gnash,pop,2016,93,28,49,-13,10,18,251,69,30,81,1
Silence,Marshmello,brostep,2017,142,76,52,-3,17,29,181,26,9,80,0
The Nights,Avicii,big room,2014,126,84,53,-5,25,65,177,2,4,80,1
Without You (feat. Sandro Cavazza),Avicii,big room,2017,134,86,66,-5,5,30,182,0,4,80,1
In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,80,1
Faded,Alan Walker,electro house,2018,180,63,47,-5,11,16,212,3,5,80,1
Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,80,1
Solo (feat. Demi Lovato),Clean Bandit,dance pop,2018,105,64,74,-5,35,56,223,4,4,79,0
Love Lies (with Normani),Khalid,alternative r&b,2018,144,65,71,-6,13,34,202,10,4,79,0
Little Do You Know,Alex & Sierra,neo mellow,2014,146,29,50,-9,19,37,185,75,3,79,0
Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11,36,209,13,8,79,0
Exchange,Bryson Tiller,pop,2015,160,43,53,-11,14,27,195,11,19,79,0
One Last Time,Ariana Grande,dance pop,2014,125,59,63,-5,10,10,197,9,3,79,0
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,78,0
Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,78,0
Waiting For Love,Avicii,big room,2015,128,74,58,-4,20,61,231,31,5,78,0
Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,78,0
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9,52,221,12,7,78,0
Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,78,0
Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,78,0
PILLOWTALK,ZAYN,dance pop,2016,125,70,58,-4,9,44,203,12,5,78,0
All I Want,Kodaline,irish pop,2013,86,41,21,-10,8,16,306,17,4,78,0
Youngblood,5 Seconds of Summer,boy band,2018,120,85,60,-5,12,15,203,2,46,77,0
Symphony (feat. Zara Larsson),Clean Bandit,dance pop,2017,123,63,71,-5,14,46,212,26,6,77,0
Unsteady,X Ambassadors,indie poptimism,2015,117,67,39,-6,12,20,194,18,6,77,0
Classic,MKTO,dance pop,2012,102,79,72,-5,16,76,175,4,12,77,0
Time of Our Lives,Pitbull,dance pop,2014,124,80,72,-6,69,72,229,9,6,77,0
Please Don't Go,Joel Adams,australian pop,2015,84,77,51,-5,29,24,211,1,6,76,0
When You Love Someone,James TW,neo mellow,2019,126,45,68,-6,5,35,217,26,3,76,0
I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2016,118,45,74,-8,33,9,245,6,6,76,0
Perfect Strangers,Jonas Blue,dance pop,2018,118,86,73,-4,21,70,197,39,5,76,0
Friends (with BloodPopÂ®),Justin Bieber,canadian pop,2017,105,73,74,-5,30,62,189,0,4,75,0
September Song,JP Cooper,dance pop,2017,96,62,61,-7,9,37,220,5,4,75,0
Never Forget You,Zara Larsson,dance pop,2017,146,73,58,-6,27,28,213,0,5,75,0
Say You Won't Let Go,James Arthur,pop,2016,99,56,40,-7,9,48,211,69,5,75,0
Airplanes (feat. Hayley Williams),B.o.B,atl hip hop,2010,93,87,66,-4,4,38,180,11,12,75,0
Whistle,Flo Rida,dance pop,2012,104,94,75,-6,29,74,225,2,5,75,0
Do It Again,Pia Mia,dance pop,2015,96,56,71,-7,9,41,208,3,5,74,0
Paris,The Chainsmokers,electropop,2017,100,64,65,-7,9,25,222,2,3,74,0
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,dance pop,2015,95,52,69,-6,11,18,230,12,13,74,0
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,74,0
No Promises (feat. Demi Lovato),Cheat Codes,dance pop,2017,113,67,74,-5,11,60,224,6,13,73,0
The Ocean (feat. Shy Martin),Mike Perry,big room,2016,90,57,63,-6,10,19,183,2,3,73,0
Capsize,FRENSHIP,electropop,2016,93,71,68,-6,69,36,238,4,3,72,0
As Long As You Love Me,Justin Bieber,canadian pop,2012,140,87,57,-3,36,61,229,8,10,72,0
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,dance pop,2017,121,87,70,-5,10,73,194,15,3,71,0
2U (feat. Justin Bieber),David Guetta,dance pop,2017,145,65,55,-6,23,56,195,22,6,71,0
Strip That Down (feat. Quavo),Liam Payne,dance pop,2019,106,50,87,-5,8,55,202,20,5,71,0
Wildest Dreams,Taylor Swift,dance pop,2014,140,66,55,-7,11,47,220,7,7,71,0
Sun Is Shining,Axwell /\ Ingrosso,big room,2017,132,76,47,-3,7,38,255,9,5,71,0
Solo Dance,Martin Jensen,big room,2016,115,85,75,-2,20,40,175,5,5,70,0
Alone,Alan Walker,electro house,2016,97,93,68,-3,12,16,161,19,5,70,0
You Don't Know Me (feat. RAYE),Jax Jones,dance pop,2019,124,67,88,-6,32,67,213,16,14,70,0
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2012,146,93,63,-4,10,88,258,3,8,70,0
Hurts So Good,Astrid S,dance pop,2016,120,63,67,-5,9,42,209,8,5,69,0
Five More Hours - Deorro x Chris Brown,Deorro,big room,2017,128,88,70,-3,82,50,212,3,22,69,0
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,69,0
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,dance pop,2012,130,88,67,-3,26,55,195,6,4,69,0
Mama,Jonas Blue,dance pop,2017,104,79,74,-4,5,54,184,10,4,68,0
Don't Leave,Snakehips,dance pop,2017,122,70,66,-3,26,34,215,22,8,68,0
Drag Me Down,One Direction,boy band,2015,138,71,72,-6,5,61,192,10,4,68,0
The One That Got Away,Katy Perry,dance pop,2010,134,80,69,-4,16,88,227,0,4,66,0
Shed a Light,Robin Schulz,dance pop,2016,122,79,48,-5,26,58,191,11,10,65,0
Sex,Cheat Codes,dance pop,2016,105,69,60,-6,13,19,228,0,16,60,0
Call on Me - Ryan Riback Remix,Starley,aussietronica,2016,105,84,67,-4,16,72,222,6,4,58,0
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2011,90,80,65,-3,27,80,211,3,10,56,0
Dynamite,Taio Cruz,dance pop,2011,120,79,76,-4,3,87,203,0,8,56,0
Break Your Heart,Taio Cruz,dance pop,2011,122,89,67,-5,24,68,185,0,3,54,0
Summer Air,ItaloBrothers,dance pop,2017,102,75,76,-4,8,49,184,6,7,43,0
All I Wanna Do,Martin Jensen,big room,2016,112,79,73,-4,7,56,194,16,7,32,0
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,1
In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83,1
The Scientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,83,1
Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81,1
Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81,1
Umbrella,Rihanna,barbadian pop,2008,174,83,58,-5,4,57,276,1,13,80,0
Stronger,Kanye West,chicago rap,2007,104,72,62,-8,41,49,312,1,15,80,1
The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80,1
Low (feat. T-Pain),Flo Rida,dance pop,2008,128,61,92,-6,14,30,231,9,8,79,0
American Boy,Estelle,r&b,2008,118,73,73,-3,7,51,285,17,33,79,0
Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,79,89,-5,4,58,250,2,11,79,0
Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,78,0
Party In The U.S.A.,Miley Cyrus,dance pop,2009,96,70,65,-5,9,47,202,0,4,78,0
Candy Shop,50 Cent,east coast hip hop,2005,125,57,61,-8,38,76,209,3,47,78,0
Fireflies,Owl City,pop,2009,180,66,51,-7,12,46,228,3,4,78,0
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,0
So Sick,Ne-Yo,dance pop,2006,93,57,45,-8,19,58,207,25,31,77,0
Take A Bow,Rihanna,barbadian pop,2008,82,47,70,-8,9,57,229,25,7,77,0
Dilemma,Nelly,dance pop,2002,168,55,73,-8,20,61,289,23,14,77,0
I Gotta Feeling,The Black Eyed Peas,dance pop,2009,128,77,74,-6,51,61,289,9,3,77,0
Halo,BeyoncÃ©,dance pop,2008,80,72,51,-6,6,47,262,27,6,77,0
In Da Club,50 Cent,east coast hip hop,2003,90,71,90,-3,7,78,193,26,37,77,0
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,77,0
Crank That (Soulja Boy),Soulja Boy,atl hip hop,2007,140,74,74,-2,5,80,222,52,8,76,0
Gasolina,Daddy Yankee,latin,2004,96,80,86,-6,8,75,193,33,6,76,0
Let Me Love You,Mario,dance pop,2004,95,58,66,-9,12,56,257,24,9,76,0
Don't Stop The Music,Rihanna,barbadian pop,2008,123,67,84,-6,5,54,267,3,6,76,0
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2004,171,74,69,-5,34,6,322,1,26,76,0
I Knew You Were Trouble.,Taylor Swift,dance pop,2012,77,47,62,-7,3,68,220,0,4,75,0
Temperature,Sean Paul,dance pop,2005,125,60,95,-5,7,82,219,11,7,75,0
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2009,93,37,48,-8,12,14,216,74,3,75,0
Where Is The Love?,The Black Eyed Peas,dance pop,2003,94,69,84,-3,13,83,273,10,18,75,0
Replay,Iyaz,dance pop,2009,91,75,71,-6,17,20,182,17,7,74,0
Live Your Life (feat. Rihanna),T.I.,atl hip hop,2008,160,86,38,-3,21,48,339,7,26,74,0
Grenade,Bruno Mars,pop,2010,110,56,71,-7,12,23,223,15,6,74,0
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,126,82,65,-4,67,77,231,0,4,74,0
Womanizer,Britney Spears,dance pop,2009,139,70,72,-5,9,24,224,7,6,74,0
You Found Me,The Fray,modern rock,2009,152,80,34,-5,14,40,242,2,4,74,0
One Tow Step (feat. Missy Elliot),Ciara,dance pop,2004,113,51,94,-11,4,84,204,4,16,74,0
Smack That,Akon,dance pop,2006,119,74,94,-5,9,93,212,32,5,73,0
Alors on danse,Stromae,belgian pop,2010,120,59,79,-9,7,71,206,10,8,73,0
No Air (feat. Chris Brown),Jordin Sparks,dance pop,2007,160,76,47,-5,6,33,264,5,20,73,0
We Are Never Ever Getting Back Together,Taylor Swift,dance pop,2012,86,68,63,-6,12,75,193,1,9,73,0
Love Story,Taylor Swift,dance pop,2008,119,74,62,-4,8,31,236,13,3,73,0
Pon de Replay,Rihanna,barbadian pop,2005,99,64,78,-8,10,50,247,0,16,73,0
A Milli,Lil Wayne,hip hop,2008,151,70,67,-9,19,77,222,4,28,73,0
U Remind Me,Usher,atl hip hop,2001,94,63,66,-5,25,73,267,19,8,73,0
Right Round,Flo Rida,dance pop,2009,125,67,72,-7,23,71,205,1,6,72,0
Because Of You,Ne-Yo,dance pop,2007,110,54,81,-6,10,83,267,53,4,72,0
Call on Me - Radio Mix,Eric Prydz,big room,2004,126,84,60,-7,84,45,171,0,38,72,0
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,72,0
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,bronx hip hop,2001,94,71,84,-5,11,92,267,2,6,72,0
Pump It,The Black Eyed Peas,dance pop,2005,154,93,65,-3,75,74,213,1,18,72,0
Break Your Heart,Taio Cruz,dance pop,2010,122,93,61,-4,9,57,202,3,3,71,0
Numb / Encore,JAY-Z,east coast hip hop,2004,107,80,69,-4,55,80,205,6,16,71,0
Hate That I Love You,Rihanna,barbadian pop,2008,94,73,64,-5,10,73,219,32,9,71,0
Lollipop,Lil Wayne,hip hop,2008,148,43,83,-9,14,45,299,6,8,71,0
Rockstar,Nickelback,alternative metal,2005,144,91,62,-3,34,69,252,5,4,71,0
I Wanna Love You,Akon,dance pop,2006,100,45,87,-9,31,35,247,4,4,70,0
Crush,David Archuleta,dance pop,2008,162,66,57,-5,7,49,214,1,3,70,0
Apologize,Timbaland,dance pop,2007,118,60,66,-6,10,8,184,4,3,70,0
7 Days,Craig David,british soul,2001,83,81,66,-7,10,89,235,23,5,70,0
Broken Strings,James Morrison,neo mellow,2008,112,72,57,-5,8,32,250,1,3,70,0
Bleeding Love,Leona Lewis,british soul,2007,104,65,64,-6,15,20,263,19,4,70,0
In My Head,Jason Derulo,dance pop,2010,110,75,76,-4,35,85,199,3,3,69,0
Ridin',Chamillionaire,dirty south rap,2005,143,80,79,-5,30,84,303,19,10,69,0
Hot N Cold,Katy Perry,dance pop,2008,132,84,71,-4,7,86,220,0,4,69,0
Breakeven,The Script,celtic rock,2008,94,70,63,-5,8,49,261,14,2,68,0
Snap Yo Fingers,Youngbloodz,atl hip hop,2006,82,76,84,-5,29,63,274,1,23,68,0
Boom Boom Pow,The Black Eyed Peas,dance pop,2009,130,86,87,-6,13,40,251,13,7,68,0
Lady - Hear Me Tonight,Modjo,disco house,2001,126,81,72,-6,6,87,307,1,4,68,0
Superstar,Jamelia,europop,2003,110,65,80,-7,4,82,215,5,4,67,0
Love Lockdown,Kanye West,chicago rap,2008,120,52,76,-8,11,11,270,5,3,67,0
The Tide Is High - Radio Mix,Atomic Kitten,bubblegum dance,2003,103,69,78,-3,3,64,205,2,3,66,0
Release Me,Agnes,dance pop,2009,128,92,62,-3,11,72,256,1,3,65,0
About You Now,Sugababes,bubblegum dance,2007,82,70,58,-6,49,59,212,0,4,65,0
Pjanoo - Radio Edit,Eric Prydz,big room,2008,126,87,60,-5,11,84,157,0,3,65,0
Let It Rock,Kevin Rudolf,dance pop,2008,113,78,61,-4,7,44,231,0,4,65,0
Everytime We Touch - Radio Edit,Cascada,bubblegum dance,2011,142,98,64,-5,37,49,199,0,6,64,0
Lean Back,Terror Squad,bronx hip hop,2004,127,92,80,-3,7,70,247,11,47,64,0
TiK ToK,Kesha,dance pop,2014,120,67,75,-7,28,63,200,6,12,63,0
All Rise,Blue,boy band,2001,98,74,72,-3,17,93,224,12,3,63,0
Fergalicious,Fergie,dance pop,2006,129,58,91,-8,13,83,292,6,32,63,0
Something,Lasgo,belgian dance,2001,140,98,64,-7,11,38,221,3,4,63,0
When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,2009,130,86,66,-5,20,50,189,1,3,63,0
Anyone Of Us (Stupid Mistake),Gareth Gates,europop,2002,107,72,70,-6,8,65,228,28,3,61,0
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,2006,100,42,62,-7,12,29,203,29,2,61,0
Thank God I Found You,Mariah Carey,dance pop,1999,130,53,47,-6,11,15,257,59,3,61,0
Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,2009,130,30,96,-6,8,80,312,2,13,60,0
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,75,-5,69,65,213,15,6,60,0
Bump Bump Bump,B2K,boy band,2003,96,68,84,-6,5,89,283,10,21,60,0
Beautiful Girls,Sean Kingston,dance pop,2014,118,64,54,-7,24,75,242,14,9,60,0
I Know You Want Me (Calle Ocho),Pitbull,dance pop,2009,127,74,82,-6,24,80,237,1,14,60,0
Leave The World Behind - Radio Edit,Axwell,big room,2009,128,85,53,-8,32,28,162,0,5,58,0
DÃ©senchantÃ©e - Radio Edit,Kate Ryan,belgian pop,2008,140,94,52,-5,23,29,221,17,7,57,0
Moving too fast - Radio Edit,Artful Dodger,uk garage,2012,127,51,84,-11,3,52,238,9,5,57,0
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,east coast hip hop,2002,86,75,56,-4,64,49,324,1,32,56,0
Knock You Down,Keri Hilson,dance pop,2009,155,88,59,-5,17,65,326,1,16,56,0
Dragostea Din Tei - Italian Version,O-Zone,bubblegum dance,2010,130,89,67,-6,10,80,215,4,3,44,0
What A Girl Wants - Eddie Arroyo Dance Radio Edit,Christina Aguilera,dance pop,1999,130,92,75,-7,7,66,244,1,3,40,0
Impossible - Main,Shontelle,barbadian pop,2019,90,57,59,-5,11,51,226,44,4,32,0
No Scrubs,TLC,atl hip hop,1999,93,68,74,-4,7,59,214,3,10,79,0
I Want It That Way,Backstreet Boys,boy band,2001,99,70,69,-6,16,48,214,22,3,76,0
It Wasn't Me,Shaggy,dance pop,2000,95,61,85,-5,31,65,228,6,7,76,0
"Because You Loved Me (Theme from ""Up Close and Personal"")",CÃ©line Dion,canadian pop,1996,120,47,61,-10,10,18,274,31,3,74,0
Big Poppa - 2005 Remaster,The Notorious B.I.G.,east coast hip hop,1994,84,58,78,-7,14,76,253,43,27,74,0
I Got 5 On It,Luniz,g funk,1995,174,71,60,-8,13,58,254,21,36,73,0
Boom Boom Boom Boom!!,Vengaboys,bubblegum dance,2000,138,89,80,-7,3,97,202,1,4,73,0
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1997,108,85,73,-4,27,61,225,4,4,73,0
Bed Of Roses,Bon Jovi,glam metal,1992,165,60,31,-6,21,16,394,10,3,73,0
Don't Look Back in Anger - Remastered,Oasis,britpop,1995,163,94,33,-3,15,33,290,7,6,73,0
Always Be My Baby,Mariah Carey,dance pop,1995,79,53,65,-8,25,49,258,46,4,73,0
Angels,Robbie Williams,dance pop,1997,150,59,43,-6,10,24,265,16,3,73,0
Return of the Mack,Mark Morrison,british soul,1996,95,83,72,-5,16,61,213,1,11,72,0
Pony,Ginuwine,dance pop,1999,142,61,75,-9,12,97,252,0,9,72,0
Freed From Desire,Gala,eurodance,2007,129,86,70,-4,10,64,213,59,5,71,0
Better Off Alone,Alice DJ,europop,2000,137,82,67,-9,29,76,218,0,6,71,0
Hero,Mariah Carey,dance pop,1993,120,38,50,-9,12,18,258,74,3,71,0
End Of The Road,Boyz II Men,boy band,1991,150,43,64,-9,6,53,351,7,2,71,0
I'll Be Missing You (feat. 112),Diddy,dance pop,2004,110,48,86,-9,59,93,302,5,6,71,0
Forgot About Dre,Dr. Dre,g funk,1999,134,74,92,-1,16,62,222,8,8,71,0
Fantasy,Mariah Carey,dance pop,1995,102,73,67,-8,12,80,243,14,4,70,0
Sandstorm,Darude,eurodance,2000,136,97,53,-8,8,59,225,14,5,70,0
Who Am I (What's My Name)?,Snoop Dogg,g funk,1993,97,83,69,-4,52,69,246,0,5,70,0
Mr. Vain - Original Radio Edit,Culture Beat,bubblegum dance,1993,133,100,70,-8,12,39,257,7,4,69,0
Spending My Time,Roxette,europop,1991,171,57,42,-5,13,22,276,24,3,69,0
Let's Get Loud,Jennifer Lopez,dance pop,1999,131,94,82,-5,35,91,239,14,6,69,0
The Rhythm of the Night,Corona,bubblegum dance,1994,128,81,69,-12,10,80,264,0,3,69,0
The Power of Love,CÃ©line Dion,canadian pop,1993,140,52,55,-9,24,25,342,36,3,68,0
Narcotic - Radio Edit,Liquido,german alternative rock,1998,102,61,62,-7,9,45,236,0,2,68,0
Miami,Will Smith,hip hop,1997,108,53,88,-6,4,89,198,3,15,68,0
Hypnotize - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,94,69,90,-4,29,63,230,18,28,68,0
3AM,Matchbox Twenty,neo mellow,1996,108,67,52,-9,12,54,226,1,3,68,0
High,Lighthouse Family,europop,1997,102,63,66,-9,13,59,308,11,3,68,0
L'Amour Toujours,Gigi D'Agostino,eurodance,2011,139,73,62,-8,36,81,239,3,3,67,0
"Rhythm Is A Dancer - 7"" Edit",SNAP!,diva house,1992,124,75,79,-11,14,71,226,27,4,67,0
Say My Name,Destiny's Child,dance pop,1999,67,68,52,-4,13,75,271,27,16,67,0
Heal the World,Michael Jackson,pop,1991,81,49,53,-8,10,10,384,54,5,67,0
The Boy Is Mine,Brandy,dance pop,1998,93,71,70,-7,32,76,295,54,4,66,0
Weak,SWV,dance pop,1992,128,53,69,-11,7,57,292,11,4,66,0
Walking in Memphis,Cher,dance pop,1995,129,68,70,-7,17,53,235,59,3,66,0
Angel of Mine - Radio Mix,Monica,dance pop,1998,90,56,59,-7,22,21,250,0,2,66,0
Picture Of You,Boyzone,boy band,1997,117,92,76,-6,37,88,206,10,4,65,0
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",CÃ©line Dion,canadian pop,1992,77,40,46,-10,13,12,249,64,3,65,0
Run To You,Bryan Adams,album rock,1984,127,81,56,-6,29,64,233,1,3,65,0
No Matter What,Boyzone,boy band,1998,93,42,70,-9,14,53,274,19,2,65,0
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,bubblegum dance,1998,128,97,82,-11,39,77,284,26,6,64,0
Dreams,Gabrielle,british soul,1993,99,47,75,-14,22,57,223,17,4,64,0
Fading Like a Flower (Every Time You Leave),Roxette,europop,1991,105,67,61,-6,22,32,231,20,3,64,0
It's Not Right But It's Okay,Whitney Houston,dance pop,1998,128,80,81,-7,7,53,292,16,10,64,0
Stay Another Day,East 17,boy band,1994,128,49,52,-8,19,44,267,58,3,63,0
A Whole New World (Aladdin's Theme),Peabo Bryson,adult standards,1993,108,32,52,-10,14,13,243,63,3,63,0
Encore Une Fois - Future Breeze Edit,Sash!,bubblegum dance,1997,133,93,66,-7,19,84,221,1,4,62,0
Incomplete,Sisqo,dance pop,1999,119,44,75,-8,14,27,274,28,8,62,0
Sweet Dreams,La Bouche,bubblegum dance,2007,134,96,66,-6,9,83,205,8,5,62,0
Juicy - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,96,82,87,-5,15,79,301,48,26,62,0
Mysterious Girl - Radio Edit,Peter Andre,europop,2004,172,82,66,-6,30,86,217,14,21,62,0
It's Gonna Be Me,*NSYNC,boy band,2000,165,87,64,-5,6,88,191,5,8,62,0
I Have Nothing - Film Version,Whitney Houston,dance pop,2017,153,45,49,-9,9,17,296,76,3,61,0
I Promised Myself,Nick Kamen,,1990,128,80,58,-12,3,69,241,0,3,61,0
You,Ten Sharp,,1991,174,90,41,-8,19,67,273,43,3,61,0
